snapshot,time,latitude,longitude,chl
before,2024-03-15,35.0,-60.0,0.222581
before,2024-03-15,35.0,-59.75,0.22571
before,2024-03-15,35.0,-59.5,0.25077
before,2024-03-15,35.0,-59.25,0.276068
before,2024-03-15,35.0,-59.0,0.284367
before,2024-03-15,35.0,-58.75,0.274446
before,2024-03-15,35.0,-58.5,0.262393
before,2024-03-15,35.0,-58.25,0.230537
before,2024-03-15,35.0,-58.0,0.173344
before,2024-03-15,35.0,-57.75,0.167823
before,2024-03-15,35.0,-57.5,0.210793
before,2024-03-15,35.0,-57.25,0.211377
before,2024-03-15,35.0,-57.0,0.213001
before,2024-03-15,35.0,-56.75,0.203584
before,2024-03-15,35.0,-56.5,0.21055
before,2024-03-15,35.0,-56.25,0.217217
before,2024-03-15,35.0,-56.0,0.212444
before,2024-03-15,35.0,-55.75,0.197132
before,2024-03-15,35.0,-55.5,0.174874
before,2024-03-15,35.0,-55.25,0.148315
before,2024-03-15,35.0,-55.0,0.125583
before,2024-03-15,35.0,-54.75,0.111304
before,2024-03-15,35.0,-54.5,0.109289
before,2024-03-15,35.0,-54.25,0.122954
before,2024-03-15,35.0,-54.0,0.133948
before,2024-03-15,35.0,-53.75,0.131667
before,2024-03-15,35.0,-53.5,0.127516
before,2024-03-15,35.0,-53.25,0.131625
before,2024-03-15,35.0,-53.0,0.148379
before,2024-03-15,35.0,-52.75,0.136502
before,2024-03-15,35.0,-52.5,0.124205
before,2024-03-15,35.0,-52.25,0.137184
before,2024-03-15,35.0,-52.0,0.139824
before,2024-03-15,35.0,-51.75,0.185867
before,2024-03-15,35.0,-51.5,0.211605
before,2024-03-15,35.0,-51.25,0.206336
before,2024-03-15,35.0,-51.0,0.181173
before,2024-03-15,35.0,-50.75,0.171222
before,2024-03-15,35.0,-50.5,0.163532
before,2024-03-15,35.0,-50.25,0.172145
before,2024-03-15,35.0,-50.0,0.251543
before,2024-03-15,35.0,-49.75,0.398156
before,2024-03-15,35.0,-49.5,0.499271
before,2024-03-15,35.0,-49.25,0.439918
before,2024-03-15,35.0,-49.0,0.402224
before,2024-03-15,35.0,-48.75,0.203952
before,2024-03-15,35.0,-48.5,0.183483
before,2024-03-15,35.0,-48.25,0.222483
before,2024-03-15,35.0,-48.0,0.182999
before,2024-03-15,35.0,-47.75,0.157095
before,2024-03-15,35.0,-47.5,0.18151
before,2024-03-15,35.0,-47.25,0.287699
before,2024-03-15,35.0,-47.0,0.387517
before,2024-03-15,35.0,-46.75,0.470272
before,2024-03-15,35.0,-46.5,0.518806
before,2024-03-15,35.0,-46.25,0.588996
before,2024-03-15,35.0,-46.0,0.685515
before,2024-03-15,35.0,-45.75,0.744906
before,2024-03-15,35.0,-45.5,0.735176
before,2024-03-15,35.0,-45.25,0.653943
before,2024-03-15,35.0,-45.0,0.742492
before,2024-03-15,35.0,-44.75,0.809676
before,2024-03-15,35.0,-44.5,0.843078
before,2024-03-15,35.0,-44.25,0.790975
before,2024-03-15,35.0,-44.0,0.629869
before,2024-03-15,35.0,-43.75,0.445474
before,2024-03-15,35.0,-43.5,0.374827
before,2024-03-15,35.0,-43.25,0.35007
before,2024-03-15,35.0,-43.0,0.36837
before,2024-03-15,35.0,-42.75,0.427635
before,2024-03-15,35.0,-42.5,0.538545
before,2024-03-15,35.0,-42.25,0.650883
before,2024-03-15,35.0,-42.0,0.863455
before,2024-03-15,35.0,-41.75,0.910885
before,2024-03-15,35.0,-41.5,0.976617
before,2024-03-15,35.0,-41.25,1.202572
before,2024-03-15,35.0,-41.0,1.381446
