snapshot,week_start,week_end
week_01,2024-01-01,2024-01-07
week_02,2024-01-08,2024-01-14
week_03,2024-01-15,2024-01-21
week_04,2024-01-22,2024-01-28
week_05,2024-01-29,2024-02-04
week_06,2024-02-05,2024-02-11
week_07,2024-02-12,2024-02-18
week_08,2024-02-19,2024-02-25
week_09,2024-02-26,2024-03-03
week_10,2024-03-04,2024-03-10
week_11,2024-03-11,2024-03-17
week_12,2024-03-18,2024-03-24
week_13,2024-03-25,2024-03-31
week_14,2024-04-01,2024-04-07
week_15,2024-04-08,2024-04-14
week_16,2024-04-15,2024-04-21
week_17,2024-04-22,2024-04-28
week_18,2024-04-29,2024-05-05
week_19,2024-05-06,2024-05-12
week_20,2024-05-13,2024-05-19
week_21,2024-05-20,2024-05-26
week_22,2024-05-27,2024-06-02
week_23,2024-06-03,2024-06-09
week_24,2024-06-10,2024-06-16
week_25,2024-06-17,2024-06-23
week_26,2024-06-24,2024-06-30
