time,chl,phyc,nppv,o2,no3,zooc,dissic,spco2
2024-03-01,0.312928,1.386087,3.876168,279.31232,9.371715,,2.168565,37.059853
2024-03-02,0.297276,1.342264,3.5485,279.31027,9.394049,,2.168743,37.061375
2024-03-03,0.282449,1.295124,3.261168,279.18442,9.422683,,2.168957,37.045395
2024-03-04,0.274011,1.277508,3.316676,279.13446,9.452151,,2.169131,37.0379
2024-03-05,0.272479,1.286554,3.816885,279.13156,9.482884,,2.169304,37.05381
2024-03-06,0.281191,1.332096,4.458154,279.23932,9.510632,,2.169418,37.06824
2024-03-07,0.300289,1.417235,5.371102,279.49042,9.527355,,2.169421,37.06472
2024-03-08,0.314063,1.460736,5.053048,279.69223,9.540787,,2.1694,37.06366
2024-03-09,0.30132,1.395189,3.959006,279.65536,9.569414,,2.169548,37.07769
2024-03-10,0.285914,1.330994,3.751088,279.54675,9.595986,,2.169728,37.082565
2024-03-11,0.289544,1.346118,3.906012,279.605,9.605371,,2.169686,37.07681
2024-03-12,0.30122,1.394441,4.578302,279.7819,9.606617,,2.169544,37.073944
2024-03-13,0.319859,1.486937,5.432836,280.10312,9.60603,,2.169395,37.06047
2024-03-14,0.338097,1.59258,5.939402,280.41003,9.609539,,2.169257,37.033825
2024-03-15,0.354289,1.686504,5.956979,280.65698,9.611878,,2.169072,37.003998
2024-03-16,0.364353,1.744852,5.687733,280.89658,9.612844,,2.168853,36.976784
2024-03-17,0.372084,1.80333,6.139362,281.1876,9.611957,,2.168639,36.953556
2024-03-18,0.38449,1.86734,6.28626,281.4615,9.605411,,2.1684,36.92564
2024-03-19,0.399241,1.911485,6.478812,281.68668,9.598056,,2.168186,36.892536
2024-03-20,0.415674,1.981731,7.471734,282.0077,9.594616,,2.168037,36.859665
2024-03-21,0.441135,2.144319,9.284251,282.48184,9.579944,,2.167763,36.819508
2024-03-22,0.474282,2.321854,10.433072,282.94202,9.550076,,2.167414,36.77378
2024-03-23,0.49503,2.435262,10.642095,283.33664,9.525034,,2.167157,36.74567
2024-03-24,0.492037,2.404348,9.586939,283.45963,9.521626,,2.167117,36.743736
2024-03-25,0.469761,2.281757,8.939466,283.21497,9.55077,,2.16737,36.77614
2024-03-26,0.459719,2.240694,9.227675,283.02557,9.57486,,2.167587,36.800343
2024-03-27,0.445018,2.19426,9.037987,282.82208,9.603759,,2.167847,36.828114
2024-03-28,0.435725,2.160542,8.536876,282.79,9.612173,,2.167932,36.815575
2024-03-29,0.429734,2.133973,7.693037,282.88907,9.60149,,2.16784,36.781544
2024-03-30,0.421823,2.083733,7.029593,282.9142,9.59363,,2.167754,36.771576
2024-03-31,0.417711,2.048964,7.093197,282.93015,9.592388,,2.167679,36.776447
2024-04-01,0.419316,2.053548,7.079906,283.0404,9.593569,,2.167674,36.774513
2024-04-02,0.426446,2.083416,7.6349,283.12448,9.598734,,2.16776,36.77097
2024-04-03,0.449405,2.196346,8.19957,283.34146,9.586892,,2.167722,36.73571
2024-04-04,0.457409,2.24272,7.38285,283.45483,9.580664,,2.167748,36.703705
2024-04-05,0.463823,2.276009,7.335766,283.5761,9.567255,,2.167733,36.68316
2024-04-06,0.48059,2.372196,8.396341,283.81174,9.539579,,2.167582,36.65174
2024-04-07,0.511627,2.537798,9.509371,284.15216,9.500051,,2.167278,36.596207
2024-04-08,0.548813,2.71852,10.027742,284.52655,9.458643,,2.166917,36.537605
2024-04-09,0.557053,2.763414,9.145568,284.68448,9.438788,,2.16679,36.504353
2024-04-10,0.54372,2.711232,8.865868,284.6666,9.435355,,2.166896,36.501114
2024-04-11,0.557223,2.831999,10.763767,285.00586,9.397217,,2.166716,36.47883
2024-04-12,0.600094,3.091829,12.534965,285.62177,9.329711,,2.166214,36.44947
2024-04-13,0.637465,3.277821,12.28301,286.09598,9.26403,,2.165771,36.415936
2024-04-14,0.653371,3.35217,12.248796,286.34277,9.207879,,2.165474,36.379543
2024-04-15,0.684763,3.497464,14.646246,286.70395,9.133261,,2.165025,36.341423
2024-04-16,0.762674,3.898966,19.456198,287.48383,9.019624,,2.164152,36.27243
2024-04-17,0.864402,4.474872,23.6475,288.58966,8.87067,,2.16292,36.15094
2024-04-18,0.925796,4.782102,23.401314,289.33218,8.749038,,2.16195,36.038883
2024-04-19,0.933162,4.768281,21.681055,289.55026,8.678459,,2.161444,35.977776
2024-04-20,0.915671,4.666905,20.919565,289.68597,8.617269,,2.161047,35.928753
2024-04-21,0.924944,4.76278,22.90553,290.1524,8.52395,,2.16034,35.856056
2024-04-22,0.972405,5.09617,25.360119,291.05524,8.384298,,2.159174,35.74601
2024-04-23,1.02039,5.435152,27.358463,291.9858,8.235826,2.006903,2.157968,35.621876
2024-04-24,1.051894,5.575263,27.069271,292.5615,8.107718,2.101788,2.157037,35.505947
2024-04-25,1.043062,5.442613,25.754885,292.5905,8.035206,2.148266,2.156652,35.456245
2024-04-26,1.0288,5.449856,26.092869,292.7642,7.959632,2.166648,2.156176,35.397892
2024-04-27,1.032295,5.558195,24.96142,293.12973,7.852884,2.20301,2.155454,35.29116
2024-04-28,1.025494,5.553462,24.772911,293.1102,7.782956,2.216026,2.155067,35.218533
2024-04-29,1.024343,5.52595,23.77569,292.8926,7.728442,2.222433,2.154767,35.17675
2024-04-30,0.999372,5.343558,21.42234,292.40042,7.71231,2.211899,2.154774,35.19427
2024-05-01,0.985057,5.272068,21.185823,292.09354,7.673955,2.21439,2.154612,35.178463
2024-05-02,1.001598,5.347837,23.194998,292.11444,7.600918,2.238719,2.154136,35.14448
2024-05-03,1.036678,5.51993,25.346708,292.35394,7.499101,2.286899,2.153419,35.08614
2024-05-04,1.045808,5.583536,25.495766,292.46188,7.41057,2.335229,2.152826,35.05119
2024-05-05,1.030898,5.50501,23.863922,292.37903,7.339642,2.372769,2.152434,35.048126
2024-05-06,1.006068,5.35938,22.766794,292.16772,7.291912,2.398356,2.152214,35.054836
2024-05-07,0.980026,5.184402,21.128525,291.82736,7.253478,2.414925,2.152033,35.05533
2024-05-08,0.973977,5.151186,21.174435,291.69595,7.182568,2.45371,2.151523,35.030727
2024-05-09,0.968994,5.096308,20.692833,291.55002,7.121519,2.4931,2.151081,35.059746
2024-05-10,0.946179,4.95384,20.050735,291.13293,7.093378,2.509641,2.15089,35.122597
2024-05-11,0.940661,4.941388,21.462511,290.93198,7.027908,2.536412,2.150386,35.133026
2024-05-12,0.945781,4.945974,22.235126,290.88376,6.960463,2.553372,2.14992,35.165325
2024-05-13,0.9338,4.875923,22.195463,290.70813,6.923494,2.539667,2.149742,35.19502
2024-05-14,0.924619,4.922576,22.461916,290.63812,6.857598,2.555941,2.149252,35.142612
2024-05-15,0.92264,4.989958,22.726452,290.6819,6.762429,2.594928,2.14857,35.091373
2024-05-16,0.924792,5.0927,24.015915,290.78763,6.642158,2.636234,2.147769,35.083588
2024-05-17,0.921281,5.177948,23.712875,290.84753,6.524946,2.670511,2.146975,35.114426
2024-05-18,0.91051,5.177858,23.149563,290.77222,6.423596,2.697522,2.146314,35.141506
2024-05-19,0.885841,5.04302,22.015224,290.4163,6.357486,2.693265,2.14597,35.191177
2024-05-20,0.864284,4.936896,21.399248,290.01215,6.283642,2.679966,2.145509,35.209366
2024-05-21,0.844499,4.806998,20.689741,289.6277,6.218824,2.66256,2.145061,35.24061
2024-05-22,0.827523,4.656282,19.747293,289.26202,6.170144,2.641097,2.144731,35.272724
2024-05-23,0.803573,4.46691,18.2668,288.71216,6.155566,2.599426,2.144742,35.292343
2024-05-24,0.761538,4.21166,16.523283,287.92807,6.168312,2.535046,2.145014,35.356777
